Case_ID,Stage,Molecule,Charge,Multiplicity,Num_Electrons,Basis,Basis_Source,Active_Space,Active_Electrons,Active_Orbitals,Mapper,N_Qubit,N_Qubit_Source,Method,Ansatz,Ansatz_Reps,Backend_Platform,Optimizer,Opt_Options,Shots,Qiskit_Version,TN_Layers_Network,TN_Layers_Circuit,TN_Ansatz,Optimization_Mode,Measurement_Method,Qasm_Ansatz_File,Qasm_Ansatz_SHA256,Num_Opt_Params_Phi,Num_Opt_Params_Theta,Num_ExpVals_Per_Iter,Notes,Est_QPU_Time_S_At_30_Iter,Est_QPU_Time_Cumulative_S
89,1_screen,H2,0,1,2,def2-tzvp,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,10,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
96,1_screen,H2,0,1,2,def2-tzvp,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,4,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/def2-tzvp. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
105,1_screen,H2,0,1,2,qvSZP,grimme_qvszp,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,10,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
112,1_screen,H2,0,1,2,qvSZP,grimme_qvszp,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,4,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/qvSZP. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
121,1_screen,Li2,0,1,6,sto-3g,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,10,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
128,1_screen,Li2,0,1,6,sto-3g,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,4,,"N_Qubit confirmed by a real Cebule MOL_MAP run for Li2/sto-3g. Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
137,1_screen,Li2,0,1,6,6-31g,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,10,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
144,1_screen,Li2,0,1,6,6-31g,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,4,,"N_Qubit confirmed by a real Cebule MOL_MAP run for Li2/6-31g. Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
153,1_screen,Li2,0,1,6,cc-pvdz,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,10,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
160,1_screen,Li2,0,1,6,cc-pvdz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,4,,"N_Qubit confirmed by a real Cebule MOL_MAP run for Li2/cc-pvdz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
169,1_screen,Li2,0,1,6,cc-pvtz,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,10,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
176,1_screen,Li2,0,1,6,cc-pvtz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,4,,"N_Qubit confirmed by a real Cebule MOL_MAP run for Li2/cc-pvtz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
185,1_screen,Li2,0,1,6,def2-svp,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,10,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
192,1_screen,Li2,0,1,6,def2-svp,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,4,,"N_Qubit confirmed by a real Cebule MOL_MAP run for Li2/def2-svp. Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
201,1_screen,Li2,0,1,6,def2-tzvp,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,10,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
208,1_screen,Li2,0,1,6,def2-tzvp,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,4,,"N_Qubit confirmed by a real Cebule MOL_MAP run for Li2/def2-tzvp. Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
217,1_screen,Li2,0,1,6,qvSZP,grimme_qvszp,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,10,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
224,1_screen,Li2,0,1,6,qvSZP,grimme_qvszp,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,4,,"N_Qubit confirmed by a real Cebule MOL_MAP run for Li2/qvSZP. Stage-1 screening active space CAS(2,2), held fixed across all basis sets; 2 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
233,1_screen,H2O,0,1,10,sto-3g,basis_set_exchange,valence_cas,8,6,JW,12,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,34,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(8,6), held fixed across all basis sets; 1 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
240,1_screen,H2O,0,1,10,sto-3g,basis_set_exchange,valence_cas,8,6,mol_map,8,mol_map_inferred,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,22,,"N_Qubit predicted by hamiltonian_sources.mol_map's inferred constraint-encoding formula, not a real MOL_MAP run -- exact for all 8 counts real runs have reported, but an estimate here. Stage-1 screening active space CAS(8,6), held fixed across all basis sets; 1 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
249,1_screen,H2O,0,1,10,6-31g,basis_set_exchange,valence_cas,8,6,JW,12,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,34,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(8,6), held fixed across all basis sets; 1 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
256,1_screen,H2O,0,1,10,6-31g,basis_set_exchange,valence_cas,8,6,mol_map,8,mol_map_inferred,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,22,,"N_Qubit predicted by hamiltonian_sources.mol_map's inferred constraint-encoding formula, not a real MOL_MAP run -- exact for all 8 counts real runs have reported, but an estimate here. Stage-1 screening active space CAS(8,6), held fixed across all basis sets; 1 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
265,1_screen,H2O,0,1,10,cc-pvdz,basis_set_exchange,valence_cas,8,6,JW,12,jw_exact,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,34,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(8,6), held fixed across all basis sets; 1 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
272,1_screen,H2O,0,1,10,cc-pvdz,basis_set_exchange,valence_cas,8,6,mol_map,8,mol_map_inferred,TN-VQE,n/a (no circuit executed),0,qiskit.aer,COBYLA,{},0,2.3.0,2,0,givens,network,n/a (network mode),,,0,22,,"N_Qubit predicted by hamiltonian_sources.mol_map's inferred constraint-encoding formula, not a real MOL_MAP run -- exact for all 8 counts real runs have reported, but an estimate here. Stage-1 screening active space CAS(8,6), held fixed across all basis sets; 1 core orbital(s) frozen. ZERO-QPU CONTROL: optimization_mode='network' freezes phi and optimises theta classically, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
